,#,Full Name,Team,Pos.,Ht.,Year,Hometown,Previous School,ImageURL
112,10,Amy Pateman,usf,G,5-8,Fr.,"Auckland, New Zealand",Westlake Girls High School,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/10_Amy_Pateman_Headshot.jpg?width=80&quality=90
113,12,Natasa Tausova,usf,F,6-3,Fr.,"Poprad, Slovakia",Piestanske Cajky,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/12_Natasa_Tausova_Headshot.jpg?width=80&quality=90
114,14,Michelle Ugwah,usf,F,6-1,R-So.,"Cork, Ireland",Morehead State,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/14_Michelle_Ugwah_Headshot.jpg?width=80&quality=90
115,21,Olivia Williams,usf,G,6-1,R-Sr.,"South San Francisco, Calif.",UC Irvine,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/21_Olivia_Williams_Headshot.jpg?width=80&quality=90
116,22,Paula Tirado,usf,G,5-7,R-So.,"Mataro, Spain",IES Damia Campeny,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/22_Paula_Tirado_Headshot.jpg?width=80&quality=90
117,23,Candy Edokpaigbe,usf,G,6-0,So.,"Naples, Italy",Seattle U,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/23_Candy_Edkopaigbe_Headshot.jpg?width=80&quality=90
118,24,Sol Castro,usf,F,6-1,Gr.,"Rio Colorado, Argentina",Robert Morris,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/24_Sol_Castro_Headshot.jpg?width=80&quality=90
119,32,Sophia Priestley,usf,F,6-2,Fr.,"Oslo, Norway",Ullern IF Oslo,https://drtye9aslmeh1.cloudfront.net/images/2025/10/14/32_Sophia_Priestley_Headshot.jpg?width=80&quality=90
120,1,Malvina Haziri,wsu,G,5-9,Fr.,"Vushtrria, Kosovo",KBF Prishtina,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Haziri__Malvina.png?width=80&quality=90
121,2,Eleonora Villa,wsu,G,5-8,Jr.,"Lissone, Italy",Costa Masnaga,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Villa__Eleonora.png?width=80&quality=90
122,5,Jean Chiu,wsu,G,5-7,Sr.,"Taipei, Taiwan",University of Taipei,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chiu__Jean.png?width=80&quality=90
123,6,Tahara Magassa,wsu,F,6-4,Fr.,"Paris, France",Saint-Amand Hainut,https://dxbhsrqyrr690.cloudfront.net/sidearm.nextgen.sites/wsu.sidearmsports.com/images/responsive_2020/logo_main.svg
124,8,Mackenzie Chatfield,wsu,G,5-9,Jr.,"Auckland, New Zealand",Western Kentucky,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Chatfield__Mackenzie.png?width=80&quality=90
125,9,Tanja Valancic,wsu,F,6-0,Fr.,"Ljubljana, Slovenia",Akson Ilirija,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Valancic__Tanja.png?width=80&quality=90
126,10,Charlotte Abraham,wsu,G,6-0,So.,"Cambrai, France",Lycee Marguerite de Flandre,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Abraham__Charlotte.png?width=80&quality=90
127,12,Marta Alsina,wsu,G,5-11,So.,"Barcelona, Spain",Institut Joaquim Blume,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Alsina__Marta.png?width=80&quality=90
128,15,Keandra Koorits,wsu,G/F,6-2,R-Fr.,"Tallinn, Estonia",Audentes Sports Gymnasium,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Koorits__Keandra.png?width=80&quality=90
129,25,Lauren Glazier,wsu,F,6-4,Sr.,"North Bend, Wash.",Mount Si HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Glazier__Lauren.png?width=80&quality=90
130,33,Alex Covill,wsu,C,6-6,Jr.,"Missoula, Mont.",Missoula Hellgate HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Covill__Alex.png?width=80&quality=90
131,55,Malia Ruud,wsu,F,6-2,Fr.,"Pasco, Wash.",Chiawana HS,https://d1gp0cqcpext3x.cloudfront.net/images/2025/10/9/Ruud__Malia.png?width=80&quality=90
132,0,Goundo Diakite Bayo,portland,F,6-1,Fr.,"Barcelona, Spain",IES Carles Vallbona,https://portlandpilots.com/images/2025/10/15/Diakite_Goundoba26web.JPG?width=80&quality=90
133,2,Dyani Ananiev,portland,G,6-2,R-So.,"St. Andrews, Australia",Wyndham,https://portlandpilots.com/images/2025/10/15/Ananiev_Dyani26web.JPG?width=80&quality=90
134,3,Florence Dallow,portland,G,6-2,R-So.,"Auckland, New Zealand",Epsom Girls Grammar School,https://portlandpilots.com/images/2025/10/15/Dallow_Florence26web.JPG?width=80&quality=90
135,5,Aubrey Herrin,portland,G,6-1,Fr.,"Kennewick, WA",Kamiakin HS,https://portlandpilots.com/images/2025/10/15/Herrin_Aubrey26web.JPG?width=80&quality=90
136,7,Tiffany Barbosa,portland,G,5-10,So.,"Stockholm, Sweden",RIG Lulea,https://portlandpilots.com/images/2025/10/15/Barbosa_Tiffany26web.jpg?width=80&quality=90
137,9,Jada Kennedy,portland,C,6-5,Fr.,"Melbourne, Australia",Siena College,https://portlandpilots.com/images/2025/10/15/Kennedy_Jada26web.JPG?width=80&quality=90
