Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Maya Hernandez,#55,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,25,2,6,8,3,1,1,4,4,5,12,0,0,0,0,0.417,10,28.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,29,0,2,2,1,1,0,6,1,1,2,0,0,0,0,0.5,2,-2.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,29,3,4,7,3,1,0,2,2,7,11,0,0,10,11,0.636,24,54.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,36,0,3,3,1,1,0,3,3,4,5,3,4,3,4,1.1,14,28.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,29,1,2,3,1,0,0,0,0,5,10,3,5,2,2,0.65,15,30.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,15,0,2,2,2,1,0,0,1,1,6,0,1,0,0,0.167,2,10.0,True,0.0
Ana Milanovic,#7,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,11,1,2,3,1,1,0,1,0,0,2,0,1,3,4,0.0,3,8.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,19,2,1,3,0,0,0,1,0,1,4,0,0,1,2,0.25,3,3.0,True,0.0
Mari Somvichian,#2,Loyola Marymount Lions,Cal State Fullerton Titans,1,11/29/25,7,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0.0,0,2.0,True,0.0
Cristina Jones,#55,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,33,3,4,7,2,1,0,2,4,7,12,0,0,6,10,0.583,20,40.0,False,0.0
Nicole Steiner,#0,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,25,1,2,3,2,2,1,2,1,4,11,0,0,0,0,0.364,8,24.0,False,0.0
Dylan Swindle,#10,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,38,0,0,0,3,1,0,4,4,4,9,1,2,0,1,0.5,9,14.0,False,0.0
Jana Falsdottir,#4,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,21,1,3,4,1,0,0,1,1,1,2,0,0,0,0,0.5,2,8.0,False,0.0
Kya Pearson,#33,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,20,0,2,2,2,0,0,4,3,1,4,0,0,2,2,0.25,4,2.0,False,0.0
Lilliana Petersen,#13,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,,0,1.0,False,0.0
Talia Maxwell,#23,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,13,1,4,5,0,0,0,0,0,1,2,0,0,1,1,0.5,3,10.0,False,0.0
Maxine Sutisna,#5,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,22,1,3,4,0,3,0,3,3,5,13,1,4,0,1,0.423,11,18.0,False,0.0
Mimi Moon,#1,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0.0,False,0.0
Madelynn Muniz,#22,Cal State Fullerton Titans,Loyola Marymount Lions,0,11/29/25,25,0,1,1,2,1,0,1,2,2,4,1,2,0,0,0.625,5,16.0,False,0.0
Sophie Sene,#55,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,11,2,2,4,2,0,0,1,1,1,4,0,0,0,0,0.25,2,8.0,False,0.0
Elise Livingston,#23,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,28,0,1,1,0,0,0,4,3,4,6,1,3,0,0,0.75,9,6.0,False,0.0
Marina Asensio,#1,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,36,0,2,2,3,1,0,3,3,5,11,2,7,2,2,0.545,14,24.0,False,0.0
Karyn Sanford,#15,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,17,1,1,2,2,0,0,1,1,0,1,0,1,0,0,0.0,0,4.0,False,0.0
Aaliyah Gayles,#3,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,35,0,3,3,2,2,1,5,4,2,9,2,6,6,9,0.333,12,15.0,False,0.0
Rachel Wilson,#0,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,16,1,2,3,0,0,0,2,2,1,3,0,0,2,2,0.333,4,3.0,False,0.0
Bella Cosme,#12,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,-2.0,False,0.0
Paloma Munoz Herreros,#9,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,13,0,1,1,0,0,0,1,2,1,1,0,0,1,2,1.0,3,3.0,False,0.0
Aitana Rosello Lopez,#8,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,20,0,2,2,2,0,1,1,1,3,4,0,1,0,1,0.75,6,18.0,False,0.0
Jamisyn Heaton,#32,Utah State Aggies,Loyola Marymount Lions,0,12/05/25,19,1,3,4,0,5,1,1,5,3,4,0,0,2,3,0.75,8,36.0,False,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,24,1,2,3,1,1,0,4,3,6,8,0,0,3,6,0.75,15,24.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,35,0,2,2,1,1,0,3,2,3,3,1,1,0,0,1.167,7,16.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,28,5,8,13,4,4,0,1,2,4,14,0,3,5,10,0.286,13,43.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,37,0,3,3,4,2,0,1,0,4,10,2,4,0,2,0.5,10,32.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,32,5,1,6,3,0,0,1,2,0,7,0,2,1,2,0.0,1,5.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,5,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1.0,2,8.0,True,0.0
Ana Milanovic,#7,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,6,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0.0,0,-2.0,True,0.0
Paula Reus Piza,#30,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,14,3,0,3,2,1,0,2,1,2,6,0,0,3,4,0.333,7,16.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Utah State Aggies,1,12/05/25,19,2,3,5,1,2,0,2,2,4,5,0,0,0,0,0.8,8,26.0,True,0.0
Maya Hernandez,#55,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,27,1,4,5,1,2,2,1,4,4,16,0,0,2,3,0.25,10,26.0,True,0.0
Ivana Krajina,#13,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,26,1,2,3,2,0,0,3,2,0,2,0,0,0,0,0.0,0,0.0,True,0.0
Jess Lawson,#0,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,31,6,6,12,2,2,0,1,3,11,24,1,2,4,5,0.479,27,60.0,True,0.0
Andjela Matic,#28,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,15,0,1,1,0,1,0,0,1,0,3,0,3,0,0,0.0,0,-2.0,True,0.0
Carly Heidger,#5,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,34,1,2,3,0,1,0,0,0,4,11,0,4,1,2,0.364,9,12.0,True,0.0
Kayla Jones,#24,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,10,1,0,1,1,1,0,0,0,0,3,0,0,0,2,0.0,0,2.0,True,0.0
Paula Reus Piza,#30,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,9,1,2,3,0,1,0,2,1,0,2,0,0,0,0,0.0,0,0.0,True,0.0
Zawadi Ogot,#54,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,22,3,0,3,2,3,0,4,2,5,7,0,0,1,5,0.714,11,25.0,True,0.0
Allison Clarke,#4,Loyola Marymount Lions,Wichita State Shockers,0,12/13/25,26,0,0,0,0,0,0,0,0,2,5,2,5,1,2,0.6,7,8.0,True,0.0
Jaida McDonald,#11,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,27,1,7,8,1,1,1,2,4,4,6,0,0,4,8,0.667,12,30.0,False,0.0
Maimouna Sissoko,#24,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,11,3,1,4,0,0,1,2,5,3,6,0,0,0,0,0.5,6,12.0,False,0.0
Jaila Harding,#4,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,37,0,1,1,2,0,1,1,0,4,11,4,10,1,2,0.545,13,22.0,False,0.0
Taya Davis,#14,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,29,0,6,6,4,0,0,0,1,0,2,0,1,2,2,0.0,2,19.0,False,0.0
Diamond Richardson,#5,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,8,0,1,1,0,1,0,3,2,0,2,0,1,0,0,0.0,0,-5.0,False,0.0
Bre'Yon White,#12,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,7,0,2,2,1,0,1,1,0,0,0,0,0,0,0,,0,7.0,False,0.0
Sophie Benharouga,#77,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,7,2,2,4,1,0,1,1,1,2,3,1,1,0,0,0.833,5,18.0,False,0.0
Treasure Thompson,#21,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,25,1,5,6,2,1,2,8,3,2,3,0,0,0,0,0.667,4,10.0,False,0.0
Cheyenne Banks,#42,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,4.0,False,0.0
Kyleigh Ortiz,#1,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,14,0,2,2,0,0,0,1,0,2,3,2,3,0,0,1.0,6,12.0,False,0.0
Abby Cater,#2,Wichita State Shockers,Loyola Marymount Lions,1,12/13/25,33,1,3,4,2,1,0,1,3,7,13,1,4,8,8,0.577,23,46.0,False,0.0
