Name,Jersey #,Team,Opponent,didWin,Date,MIN,OREB,DREB,REB,AST,STL,BLK,TO,PF,FGM,FGA,3PM,3PA,FTM,FTA,efg%,PTS,FantasyPts,isWCC,weeknum
Maia Jones,#9,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,18,0,1,1,3,1,0,2,0,6,11,2,6,0,0,0.636,14,30,True,0
Tyler Gildersleeve-Stiles,#34,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,25,5,6,11,4,1,2,2,2,4,10,0,1,2,3,0.4,10,40,True,0
Lauren Grover,#10,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,True,0
Alana Goodchild,#11,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,13,3,2,5,0,0,0,0,3,2,6,0,3,4,6,0.333,8,11,True,0
Delainey Miller,#20,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,25,6,5,11,5,1,2,3,3,2,7,0,2,4,9,0.286,8,32,True,0
Sienna Grieger,#6,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,16,1,2,3,1,0,0,0,1,3,7,2,5,0,0,0.571,8,17,True,0
Kate Schat,#3,Santa Clara Broncos,Stanislaus State Warriors,1,11/03/25,22,2,2,4,2,1,1,3,3,3,10,3,9,2,4,0.45,11,18,True,0
Edie Clarke,#7,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,25,0,1,1,2,2,1,5,2,1,5,0,1,2,2,0.2,4,8,True,0
Abigail Shoff,#5,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,24,1,2,3,2,0,0,0,4,4,7,0,0,0,1,0.571,8,22,True,0
Georgia Grigoropoulou,#10,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,7,1,1,2,0,0,0,0,0,2,5,0,0,0,2,0.4,4,6,True,0
Emily Foy,#8,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,12,0,2,2,0,0,0,1,2,0,0,0,0,0,0,,0,0,True,0
Malia Latu,#13,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,14,0,0,0,1,0,0,2,2,1,3,0,0,0,0,0.333,2,1,True,0
Melesungu Afeaki,#22,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,11,0,1,1,1,0,0,2,2,1,3,0,0,0,0,0.333,2,2,True,0
Addi Wedin,#23,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,26,0,3,3,0,3,1,1,3,3,4,2,2,5,6,1.0,13,38,True,0
Mauriana Hashemian-Orr,#3,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,27,1,3,4,1,2,0,3,4,4,5,0,0,4,4,0.8,12,28,True,0
Amy Kurkowski,#2,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,5,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0.0,0,4,True,0
Jada Hunter,#0,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,24,0,5,5,0,2,0,1,2,2,4,0,0,5,6,0.5,9,23,True,0
Charlece Ohiaeri,#4,Saint Mary's Gaels,Wyoming Cowgirls,1,11/04/25,25,0,2,2,0,3,1,1,0,1,4,0,2,0,0,0.25,2,14,True,0
Logann Alvar,#1,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,19,1,1,2,2,1,0,0,1,1,2,0,0,5,6,0.5,7,21,False,0
Madi Symons,#11,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,19,0,2,2,0,0,0,3,1,1,2,0,1,0,0,0.5,2,-4,False,0
Lana Beslic,#10,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,23,1,1,2,0,2,1,1,3,0,3,0,1,0,0,0.0,0,6,False,0
Henna Sandvik,#26,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,36,3,3,6,2,2,0,2,3,1,8,0,4,6,6,0.125,8,16,False,0
Malene Pedersen,#12,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,34,3,2,5,2,1,0,2,3,5,12,2,4,2,2,0.5,14,28,False,0
Peyton Wohlford,#22,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,14,0,3,3,0,0,0,2,0,0,3,0,3,0,0,0.0,0,-8,False,0
Jane Rumpf,#2,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,6,0,1,1,2,0,0,2,3,0,0,0,0,0,0,,0,2,False,0
Heidur Karlsdottir,#15,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,20,1,2,3,0,0,0,1,1,2,5,0,0,1,2,0.4,5,6,False,0
Aurore Eyango,#6,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0
Mikyn Hamlin,#25,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,7,0,0,0,0,0,0,1,1,1,1,0,0,0,2,1.0,2,0,False,0
Payton Muma,#3,Wyoming Cowgirls,Saint Mary's Gaels,0,11/04/25,22,0,3,3,1,1,0,3,2,4,8,1,4,0,1,0.562,9,12,False,0
Emma Floyd,#30,Willamette Bearcats,Portland Pilots,0,11/04/25,19,1,1,2,1,1,0,4,2,4,11,3,7,0,0,0.5,11,11,False,0
Daisy Boling-Schmidt,#14,Willamette Bearcats,Portland Pilots,0,11/04/25,19,1,2,3,1,0,0,1,1,3,6,0,0,0,0,0.5,6,12,False,0
Riley Walden,#12,Willamette Bearcats,Portland Pilots,0,11/04/25,34,1,1,2,0,2,2,4,2,7,12,3,7,0,0,0.708,17,32,False,0
Kaitlin Imai,#11,Willamette Bearcats,Portland Pilots,0,11/04/25,27,1,3,4,3,3,0,7,0,2,10,0,2,0,0,0.2,4,4,False,0
Peyton Gardner,#10,Willamette Bearcats,Portland Pilots,0,11/04/25,25,0,2,2,2,1,0,6,0,0,3,0,1,0,2,0.0,0,-10,False,0
Jordyn Reed,#23,Willamette Bearcats,Portland Pilots,0,11/04/25,7,0,1,1,0,0,0,0,0,0,2,0,0,2,2,0.0,2,2,False,0
Syd Shoemaker,#5,Willamette Bearcats,Portland Pilots,0,11/04/25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0
Addie Hiler,#22,Willamette Bearcats,Portland Pilots,0,11/04/25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,False,0
Mattie Thompson,#24,Willamette Bearcats,Portland Pilots,0,11/04/25,6,3,0,3,0,0,0,1,0,0,3,0,0,0,0,0.0,0,-2,False,0
Leia Mata,#33,Willamette Bearcats,Portland Pilots,0,11/04/25,7,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0.0,0,-3,False,0
Aasia Williams,#20,Willamette Bearcats,Portland Pilots,0,11/04/25,11,0,2,2,1,0,0,0,1,0,3,0,2,0,0,0.0,0,0,False,0
Alexis Dockter,#4,Willamette Bearcats,Portland Pilots,0,11/04/25,11,0,0,0,2,0,0,1,2,0,0,0,0,0,0,,0,4,False,0
Karsyn Ripplinger,#3,Willamette Bearcats,Portland Pilots,0,11/04/25,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,-2,False,0
Gabbie Wilson,#1,Willamette Bearcats,Portland Pilots,0,11/04/25,18,0,0,0,2,0,0,1,1,1,4,1,3,0,0,0.375,3,5,False,0
Jaydin Lutu,#2,Willamette Bearcats,Portland Pilots,0,11/04/25,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,,0,-2,False,0
Lainey Spear,#20,Portland Pilots,Willamette Bearcats,1,11/04/25,14,3,3,6,3,2,0,0,3,4,5,0,0,1,2,0.8,9,38,True,0
Julia Dalan,#44,Portland Pilots,Willamette Bearcats,1,11/04/25,15,1,2,3,1,0,2,2,0,4,7,0,0,0,0,0.571,8,22,True,0
Rhyan Mogel,#22,Portland Pilots,Willamette Bearcats,1,11/04/25,13,0,0,0,3,2,0,0,1,4,4,0,0,0,0,1.0,8,33,True,0
Dyani Ananiev,#2,Portland Pilots,Willamette Bearcats,1,11/04/25,16,1,1,2,3,3,1,1,0,4,6,2,4,0,0,0.833,10,40,True,0
Florence Dallow,#3,Portland Pilots,Willamette Bearcats,1,11/04/25,12,1,2,3,1,0,0,0,1,5,9,1,2,0,0,0.611,11,24,True,0
Ella Zimmerman,#42,Portland Pilots,Willamette Bearcats,1,11/04/25,16,0,3,3,1,0,1,1,0,4,4,0,0,0,0,1.0,8,24,True,0
